MthCalDt,INDNO,_NAME_,COL1
1943-04-30,1000511,MthTotRet,0.0492905109
1943-05-29,1000511,MthTotRet,0.0709623308
1943-06-30,1000511,MthTotRet,0.0091452002
1943-07-31,1000511,MthTotRet,-0.066325471
1943-08-31,1000511,MthTotRet,0.0055282106
1943-09-30,1000511,MthTotRet,0.0367596797
1943-10-30,1000511,MthTotRet,-0.002129698
1943-11-30,1000511,MthTotRet,-0.10334178
1943-12-31,1000511,MthTotRet,0.1005157244
1944-01-31,1000511,MthTotRet,0.0421083781
1944-02-29,1000511,MthTotRet,0.0258165122
1944-03-31,1000511,MthTotRet,0.033124197
1944-04-29,1000511,MthTotRet,-0.03319744
1944-05-31,1000511,MthTotRet,0.0534284935
1944-06-30,1000511,MthTotRet,0.0758722394
1944-07-31,1000511,MthTotRet,-0.011995382
1944-08-31,1000511,MthTotRet,0.0255956973
1944-09-30,1000511,MthTotRet,-0.009373698
1944-10-31,1000511,MthTotRet,-0.008160781
1944-11-30,1000511,MthTotRet,0.0121217009
1944-12-30,1000511,MthTotRet,0.0767570519
1945-01-31,1000511,MthTotRet,0.0284986482
1945-02-28,1000511,MthTotRet,0.0965395556
1945-03-31,1000511,MthTotRet,-0.035362692
1945-04-30,1000511,MthTotRet,0.1161007018
1945-05-31,1000511,MthTotRet,0.0313002795
1945-06-30,1000511,MthTotRet,0.0560010335
1945-07-31,1000511,MthTotRet,-0.03084141
1945-08-31,1000511,MthTotRet,0.0453504324
1945-09-29,1000511,MthTotRet,0.0736030091
1945-10-31,1000511,MthTotRet,0.0504082087
1945-11-30,1000511,MthTotRet,0.0726018359
1945-12-31,1000511,MthTotRet,0.0095627376
1946-01-31,1000511,MthTotRet,0.0931619958
1946-02-28,1000511,MthTotRet,-0.071858373
1946-03-30,1000511,MthTotRet,0.0543645373
1946-04-30,1000511,MthTotRet,0.0275921222
1946-05-31,1000511,MthTotRet,0.0432633285
1946-06-28,1000511,MthTotRet,-0.03996261
1946-07-31,1000511,MthTotRet,-0.042520983
1946-08-30,1000511,MthTotRet,-0.075229311
1946-09-30,1000511,MthTotRet,-0.12732847
1946-10-31,1000511,MthTotRet,0.006155232
1946-11-30,1000511,MthTotRet,0.0015407769
1946-12-31,1000511,MthTotRet,0.0463075306
1947-01-31,1000511,MthTotRet,0.0184425194
1947-02-28,1000511,MthTotRet,-0.009224485
1947-03-31,1000511,MthTotRet,-0.029036708
1947-04-30,1000511,MthTotRet,-0.065362236
1947-05-29,1000511,MthTotRet,-0.018515575
1947-06-30,1000511,MthTotRet,0.050607304
1947-07-31,1000511,MthTotRet,0.0549634604
1947-08-29,1000511,MthTotRet,-0.023745022
1947-09-30,1000511,MthTotRet,-0.001423424
1947-10-31,1000511,MthTotRet,0.0115428785
1947-11-29,1000511,MthTotRet,-0.038861994
1947-12-31,1000511,MthTotRet,0.0408363817
1948-01-31,1000511,MthTotRet,-0.017679923
1948-02-28,1000511,MthTotRet,-0.047394708
1948-03-31,1000511,MthTotRet,0.1003683333
1948-04-30,1000511,MthTotRet,0.0346345067
1948-05-28,1000511,MthTotRet,0.0777942104
1948-06-30,1000511,MthTotRet,0.0103014435
1948-07-30,1000511,MthTotRet,-0.048440714
1948-08-31,1000511,MthTotRet,0.0175395606
1948-09-30,1000511,MthTotRet,-0.036961508
1948-10-30,1000511,MthTotRet,0.0593470892
1948-11-30,1000511,MthTotRet,-0.109581776
1948-12-31,1000511,MthTotRet,0.028019351
1949-01-31,1000511,MthTotRet,0.0148546484
1949-02-28,1000511,MthTotRet,-0.028417597
1949-03-31,1000511,MthTotRet,0.0421445621
1949-04-30,1000511,MthTotRet,-0.02888809
1949-05-31,1000511,MthTotRet,-0.02651878
1949-06-30,1000511,MthTotRet,-0.00671008
1949-07-29,1000511,MthTotRet,0.0568300839
1949-08-31,1000511,MthTotRet,0.0235929839
1949-09-30,1000511,MthTotRet,0.0342085789
1949-10-31,1000511,MthTotRet,0.0185647148
1949-11-30,1000511,MthTotRet,0.0189405265
1949-12-31,1000511,MthTotRet,0.0682722318
1950-01-31,1000511,MthTotRet,0.0339636108
1950-02-28,1000511,MthTotRet,0.0184787582
1950-03-31,1000511,MthTotRet,0.004111282
1950-04-29,1000511,MthTotRet,0.0359292846
1950-05-31,1000511,MthTotRet,0.0253387856
1950-06-30,1000511,MthTotRet,-0.072074664
1950-07-31,1000511,MthTotRet,0.0551971635
1950-08-31,1000511,MthTotRet,0.0349309067
1950-09-29,1000511,MthTotRet,0.0648425978
1950-10-31,1000511,MthTotRet,-0.007083752
1950-11-30,1000511,MthTotRet,0.02872106
1950-12-30,1000511,MthTotRet,0.0796786488
1951-01-31,1000511,MthTotRet,0.0722705679
1951-02-28,1000511,MthTotRet,0.0094464195
1951-03-31,1000511,MthTotRet,-0.02480632
1951-04-30,1000511,MthTotRet,0.0317175806
1951-05-31,1000511,MthTotRet,-0.022843938
1951-06-29,1000511,MthTotRet,-0.041802814
1951-07-31,1000511,MthTotRet,0.0771906827
1951-08-31,1000511,MthTotRet,0.0350933178
1951-09-28,1000511,MthTotRet,0.0176002615
1951-10-31,1000511,MthTotRet,-0.023050884
1951-11-30,1000511,MthTotRet,0.0147613869
1951-12-31,1000511,MthTotRet,0.0279181114
1952-01-31,1000511,MthTotRet,0.0207779463
1952-02-29,1000511,MthTotRet,-0.016045495
1952-03-31,1000511,MthTotRet,0.0450301564
1952-04-30,1000511,MthTotRet,-0.035339582
1952-05-29,1000511,MthTotRet,0.0281180837
1952-06-30,1000511,MthTotRet,0.0390119324
1952-07-31,1000511,MthTotRet,0.0188712703
1952-08-29,1000511,MthTotRet,-0.004181749
1952-09-30,1000511,MthTotRet,-0.018358799
